,title,price
0,TOK ✨ เดรสแขนสั้น กระโปรงสั้นสวย แฟชั่นผู้หญิง ผ้าคุณภาพสูง รุ่น635,฿125
1,Dressรุ่นใหม่มาแล้วค่ะDressS75♡,฿420
2,Sumey Basic Stacking Good Things ชุดเดรสลูกไม้ ผ้าตาข่าย โปร่งใส คละสี,฿234
3,เดรสลูกไม้งานอัดกาวพรีเมียม งานปักดอกไม้ที่ขอบคอ แขน&เอว,฿399
4,เดรสสาวอวบคนอ้วน คอจีนมีสายห้อย ผ้ายืดใส่สบาย,฿105
5,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿570
6,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
7,✨  เดรสเกาหลีสีหวาน ✨ Korea Dress สกรีนกลิตเตอร์เก๋ๆ ชายกระโปรงแต่งระบาย. ผ้าโปร่งตาข่าย กระโปรง19,฿169
8,Dress korea girl by Botae99,฿299
9,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿670
10,Dress New korea design💞,฿269
11,พร้อมส่ง🐣Korea feather dress🐣passtell10221,"฿1,350"
12,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
13,พร้อมส่ง🔥korea dress เดรสเกาหลีทูโทนแขนยาวมี3สี,฿350
14,korea Summer women strapless sexy A-line chiffon bohemian floral dress,฿115
15,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
16,(Dress5-54)พร้อมส่ง Princess Dress ปาดไหล่ เดรสแต่งงาน ออกงาน Korea Style เดรสชายระบาย เดรสมีแขน ถ่ายพรีเวดดิ้ง เดรสขาว,฿429
17,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
18,Vicky 👉ชุดเดรสสีขาว กระโปรง ชุดเดรสสั้นเหนือเข่า เดรส vintage เดรส korea dress white,฿254
19,Cottoncandy​ vinnie korea​ dress​,฿340
20,😷☄️New  Dress Vegas ( Made in Korea),฿830
21,ZANZEA Women Korea Style Elegant Daily Long Sleeve Turn-Down-Collar Solid Color Maxi Dress,฿382 - ฿707
22,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿830
23,Korea blue dress💙💙เดรสเชิ๊ต ผ้าคอตตอนเนื้อดีมากๆ💥พร้อมส่ง💥,฿380
24,(Dress5-65)พร้อมส่ง Dress เดรสออกงาน Korea Style เดรสหางปลาชายระบาย คอเจ้าหญิง เดรสมีแขน เดรสดำ สวยหรู,฿299 - ฿369
25,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
26,ชุดเดรสสั้น เกาหลี ย้อนยุค V คอ แต่งตัว เดรส Korea Retro V-neck dress,฿318
27,รหัส 077-078 Korea dress น่ารักมากๆ,฿380
28,🌈🌿🌸🌼🌺💚💖🇰🇷 Floral Maxi Dress Korea🇰🇷,฿470
29,Widelia Made In korea🤍Dress :: เดรสตัวยาวสุดเก๋ ตัวชุดใช้ผ้าลูกไม้รูปดอกไม้ สีขาวทั้งชุดเว้าเอวสวย,"฿1,589 - ฿1,599"
30,Cottoncandy Korea blue dress​ CARDIGAN_NISTA,฿340
31,KARA Closet Korea style girl women dress Korea seoulเดรทยาวสายเดียวลายดอก ทรงคอวีมีลูกไม่ระบายเก๋ ด้านหลังมียางยืด มีสาย,฿290
32,พร้อมส่ง🦫Korea Classy Dress🦫 Dropbox,฿550
33,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿770
34,Korea dress เดรสโพลีเอสเตอร์สีชมพู ของใหม่,฿350
35,DressสไตKorea ทรงเข้าตัว เนื้อผ้ายืดมากๆ,฿350
36,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰.,฿790
37,Cottoncandy New Mimo korea dress T-Shirtnista,฿430
38,👗 Korea Dress 👗 เดรสเกาหลีสีหวาน สกรีนกลิตเตอร์เก๋ๆ ชายกระโปรงแต่งระบาย ผ้าโปร่งตาข่าย - กระโปรง19,฿169
39,"📌📌📌Preorder 15-20days 📌📌📌 ป้าย : Vegas ( Made in Korea) Brand : VG  Size : S,M,L,XL Detail: New  Dress  Detail = Size S",฿890
40,Cottoncandy New earl grey korea dress T-Shirtnista,฿380
41,งานป้าย korea 💥 Famous brand Modern maxi dress  แม๊กซี่เดรส พิมพ์ลายดอกคลาสสิค งานผ้าร่องอิตาลี่สวยงาม,฿790
42,New junji korea dress,฿390
43,"0431 Dress เดรส ลูกไม้ ทรงเข้ารูป Korea Style Lace dress, slim fit, Korea Style",฿250
44,🥰🥰🥰 DRESS KOREA ทรงสวย 🥰🥰🥰,฿710
45,Kowie Korea Vanilla Dress  (209)  เดรสชีฟองสีครีมอ่อน   price  790฿ พร้อมส่ง,฿790
46,งานป้าย cottoncandy 🌷 New Mimo korea dress เดรสลูกไม้สุดปังงง คอลล่าสุดจาก เราcottoncandy  ทรงสวยๆสบายๆ,฿520
47,"J0431 Dress เดรส ลูกไม้ ทรงเข้ารูป Korea Style Lace dress, slim fit, Korea Style",฿250
48,New tiny dress korea เดรสเชิ้ตสไตล์เกาหลี,฿159
49,cottoncandy ชุดเดรสผู้หญิง Korea blue dress T-Shirtnista,฿340
50,KARA Closet Korea style girl women dress Korea seoulเดรทสายเดียวสีพื้น ด้านหลังมียางยืดตามตัว สายปรับได้ ค่ะ,฿290
51,❤️ Korea Dress ❤️ เดรสเกาหลีสีหวาน สกรีนกลิตเตอร์เก๋ๆ ชายกระโปรงแต่งระบาย ผ้าโปร่งตาข่าย กระโปรง19,฿169
52,👍🏻Widelia made in Korea > Dress เดรสลูกไม้ปักฉลุคอเหลี่ยมตัวยาว ช่วงแขนพองสวยด้านหน้าแต่งกระเป๋าข้าง ช่วงคอตกแต่งโบว์,"฿1,349 - ฿1,359"
53,Nudeaholic M&M korea dress มินิเดรสเชิ๊ตแขนกุดรุ่นนี้ ผ้าดีมากๆคร่าาาา โทนสีสวย ใส่สบายๆคร่าาา,฿350
54,🕉 Dress Korea ทรงสวย,฿660
55,Paradise Official - 6สี Linen korea dress เดรสมินิมอล,฿300
56,Korea Floral Peach Dress,฿790
57,Dress Style Korea ดีไซน์สวย ผ้าเนื้อดี ใส่สบาย งานสวย งานดี เริ่ดมากค่ะ,฿550
58,(Dress5-66)พร้อมส่ง Dress เดรสออกงาน Korea Style แขนตุ๊กตา ช่วงอกถึงเอวมีดีเทลจีบ เดรสมีแขน เดรสยาว สีดำ/แดง,฿299
59,KARA Closet Korea style girl women dress Korea seoulเดรทยาวลายดอกแขนตุ๊กตา คอวี มีลูกเล่นจั่มๆที่หน้าอกเก๋ๆดูเซ็กซี่,฿280
